countyear,statefip,serialno,avgincomes,ginicoefficient,ginirank,incrank,knownincscount,knownincsavg,unknownincscount,unknownincsavg,blackpercent,whitepercent,otherpercent,blackcount,othercount,whitecount,totalcount,allareas,totalpop,populationdensity,violentcrime,propertycrime,Racial diversity,State Name
1983,15,165,12114,54.3,48,18,1362,11680,474,13362,1,31,66,35,1215,586,1836,10932,1012717,92,252,5557.5,24.3082062,Hawaii
1983,16,166,10918,58.7,27,43,1414,9933,570,13362,0,97,2,9,43,1932,1984,83574,981869,11,239,3627.1,32.34020546,Idaho
1983,17,167,12882,58.18,31,8,4433,12738,1338,13362,12,85,2,721,131,4919,5771,57918,11408818,196,728,4813.3,28.62205832,Illinois
1983,18,168,11176,57.66,35,35,2304,10490,724,13362,7,92,0,213,17,2798,3028,36420,5450395,149,284,3846,30.75530668,Indiana
1983,19,169,11183,58.3,28,34,1908,10605,507,13362,1,97,0,45,10,2360,2415,56276,2870543,51,181,3737.9,32.3350515,Iowa
1983,20,170,12022,54.39,47,19,1430,11617,433,13362,5,93,1,102,24,1737,1863,82282,2415531,29,327,4203.2,31.04656002,Kansas
1983,21,171,11000,61.36,11,38,1701,10258,535,13362,8,91,0,188,10,2038,2236,40411,3694484,91,322,3112.6,30.45032384,Kentucky
1983,22,172,11103,65.58,2,37,1728,10286,625,13362,28,70,0,679,12,1662,2353,51843,4395316,84,641,4385.7,25.1307691,Louisiana
1983,23,173,10833,54.86,46,42,1489,10041,467,13362,0,98,0,7,17,1932,1956,35387,1144772,32,160,3521.6,32.66666667,Maine
1983,24,174,13555,60.55,15,3,2120,13608,571,13362,20,77,1,562,48,2081,2691,12407,4313327,347,807,4549.9,26.52043237,Maryland
1983,25,175,12260,55.77,42,13,2913,11962,790,13362,2,96,0,111,29,3563,3703,10555,5799407,549,577,4434,32.00694369,Massachusetts
1983,26,176,11716,61.29,12,25,3945,11180,1286,13362,10,88,1,542,74,4615,5231,96810,9047754,93,717,5760.8,29.52400154,Michigan
1983,27,177,11855,57.48,36,20,2149,11376,684,13362,0,97,1,19,50,2764,2833,86943,4141456,47,191,3843.3,32.3350515,Minnesota
1983,28,178,10293,63.42,5,48,1643,9249,559,13362,32,66,0,723,4,1475,2202,48434,2567717,53,280,2927.7,24.44949443,Mississippi
1983,29,179,11410,58.17,32,30,2267,10885,610,13362,9,90,0,271,15,2591,2877,69709,4943733,70,477,4052.7,30.14962686,Missouri
1983,30,180,10870,61.48,10,40,1617,10072,518,13362,0,91,7,4,167,1964,2135,147046,814031,5,213,4431.8,30.42294456,Montana
1983,31,181,11513,55.51,43,29,1552,10907,509,13362,2,96,0,58,15,1988,2061,77358,1584293,20,218,3569.9,32.00694369,Nebraska
1983,32,182,13093,52.14,51,6,1234,13010,386,13362,5,91,3,82,61,1477,1620,110567,901977,8,655,6046.1,30.39554061,Nevada
1983,33,183,11719,55.21,45,24,1179,11256,333,13362,0,99,0,1,6,1505,1512,9351,958134,102,125,3231.2,33,New Hampshire
1983,34,184,12239,60.23,16,14,3392,11937,915,13362,10,87,2,455,89,3763,4307,8722,7467785,856,553,4610.3,29.198554,New Jersey
1983,35,185,11076,64.73,3,39,1821,10255,655,13362,2,87,10,51,254,2171,2476,121593,1394361,11,687,5659.4,29.198554,New Mexico
1983,36,186,11465,61.66,9,28,7927,10922,2274,13362,13,83,2,1369,283,8549,10201,54475,17686905,324,914,4988.5,28.01190223,New York
