countyear,statefip,serialno,avgincomes,ginicoefficient,ginirank,incrank,knownincscount,knownincsavg,unknownincscount,unknownincsavg,blackpercent,whitepercent,otherpercent,blackcount,othercount,whitecount,totalcount,allareas,totalpop,populationdensity,violentcrime,propertycrime
1982,42,141,10775,58.00,29,33,5061,10264,1340,12709,9,90,0,591,42,5768,6401,46058,11845146,257,360,360
1982,44,142,10305,49.95,51,41,1184,9678,309,12709,3,95,0,59,11,1423,1493,1545,954170,617,402,402
1982,45,143,9833,58.18,27,47,1394,8749,526,12709,29,68,1,571,27,1322,1920,32007,3207614,100,720,720
1982,46,144,9806,59.72,15,45,1858,8829,626,12709,0,92,7,4,186,2294,2484,77121,690597,8,99,99
1982,47,145,9792,61.25,7,44,1811,8965,514,12709,20,79,0,481,2,1842,2325,42146,4646041,110,421,421
1982,48,146,11277,60.92,10,23,6728,10744,2507,12709,9,89,1,848,155,8232,9235,268601,15331415,57,577,577
1982,49,147,11328,59.96,13,24,1784,10649,879,12709,0,95,3,7,106,2550,2663,84904,1558314,18,286,286
1982,50,148,10801,53.67,47,34,1162,10136,405,12709,0,99,0,3,7,1557,1567,9615,519109,53,127,127
1982,51,149,11850,58.66,21,11,2248,11612,623,12709,20,77,1,586,48,2237,2871,42769,5492783,128,309,309
1982,53,150,11925,57.30,34,10,1790,11693,532,12709,2,91,5,69,127,2126,2322,71303,4276552,59,406,406
1982,54,151,9526,61.94,6,50,1505,8382,541,12709,2,97,0,48,2,1996,2046,24231,1949604,80,175,175
1982,55,152,11393,56.32,40,18,1935,10985,600,12709,3,95,0,100,18,2417,2535,65503,4728870,72,191,191
1982,56,153,13004,52.83,48,2,1104,13107,383,12709,0,97,1,9,27,1451,1487,97818,506400,5,304,304
1983,1,154,10388,63.97,4,46,1971,9444,626,13362,21,78,0,547,14,2036,2597,52423,3934102,75,416,416
1983,2,155,15033,57.12,38,1,1741,15664,656,13362,3,77,19,88,460,1849,2397,656425,488417,0,614,614
1983,4,156,11767,59.32,24,23,1704,11276,525,13362,2,95,2,53,53,2123,2229,114006,2968925,26,494,494
1983,5,157,9823,63.08,6,50,1649,8798,478,13362,14,84,0,317,20,1790,2127,53182,2305761,43,298,298
1983,6,158,12650,59.83,21,11,11790,12424,3743,13362,7,85,6,1128,1075,13330,15533,163707,25360026,154,773,773
1983,8,159,13013,55.87,40,7,2163,12897,727,13362,3,94,2,92,64,2734,2890,104100,3133630,30,476,476
1983,9,160,13789,55.79,41,2,1347,13904,359,13362,7,91,0,133,16,1557,1706,5544,3162354,570,375,375
